Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,dropout_median,1,0.1165
5,40,3,0,0,5,dropout_median,2,0.098
5,40,3,0,0,5,dropout_median,3,0.0905
5,40,3,0,0,5,dropout_median,4,0.102
5,40,3,0,0,5,dropout_median,5,0.0955
5,40,3,0,0,5,dropout_median,6,0.1015
5,40,3,0,0,5,dropout_median,7,0.097
5,40,3,0,0,5,dropout_median,8,0.1015
5,40,3,0,0,5,dropout_median,9,0.108
5,40,3,0,0,5,dropout_median,10,0.091
5,40,3,0,0,5,dropout_median,11,0.091
5,40,3,0,0,5,dropout_median,12,0.093
5,40,3,0,0,5,dropout_median,13,0.093
5,40,3,0,0,5,dropout_median,14,0.093
5,40,3,0,0,5,dropout_median,15,0.1015
5,40,3,0,0,5,dropout_median,16,0.1015
5,40,3,0,0,5,dropout_median,17,0.1015
5,40,3,0,0,5,dropout_median,18,0.1015
5,40,3,0,0,5,dropout_median,19,0.1015
5,40,3,0,0,5,dropout_median,20,0.1015
5,40,3,0,0,5,dropout_median,21,0.1015
5,40,3,0,0,5,dropout_median,22,0.1015
5,40,3,0,0,5,dropout_median,23,0.1015
5,40,3,0,0,5,dropout_median,24,0.1015
5,40,3,0,0,5,dropout_median,25,0.1015
5,40,3,0,0,5,dropout_median,26,0.1015
5,40,3,0,0,5,dropout_median,27,0.1015
5,40,3,0,0,5,dropout_median,28,0.1015
5,40,3,0,0,5,dropout_median,29,0.1015
5,40,3,0,0,5,dropout_median,30,0.1015
5,40,3,0,0,5,dropout_median,31,0.1015
5,40,3,0,0,5,dropout_median,32,0.1015
5,40,3,0,0,5,dropout_median,33,0.1015
5,40,3,0,0,5,dropout_median,34,0.1015
5,40,3,0,0,5,dropout_median,35,0.1015
5,40,3,0,0,5,dropout_median,36,0.1015
5,40,3,0,0,5,dropout_median,37,0.1015
5,40,3,0,0,5,dropout_median,38,0.1015
5,40,3,0,0,5,dropout_median,39,0.1015
5,40,3,0,0,5,dropout_median,40,0.1015
