Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,dropout_median,1,0.116
5,40,3,0,0,5,dropout_median,2,0.094
5,40,3,0,0,5,dropout_median,3,0.1125
5,40,3,0,0,5,dropout_median,4,0.1685
5,40,3,0,0,5,dropout_median,5,0.148
5,40,3,0,0,5,dropout_median,6,0.1225
5,40,3,0,0,5,dropout_median,7,0.111
5,40,3,0,0,5,dropout_median,8,0.168
5,40,3,0,0,5,dropout_median,9,0.07
5,40,3,0,0,5,dropout_median,10,0.077
5,40,3,0,0,5,dropout_median,11,0.077
5,40,3,0,0,5,dropout_median,12,0.077
5,40,3,0,0,5,dropout_median,13,0.077
5,40,3,0,0,5,dropout_median,14,0.077
5,40,3,0,0,5,dropout_median,15,0.077
5,40,3,0,0,5,dropout_median,16,0.077
5,40,3,0,0,5,dropout_median,17,0.077
5,40,3,0,0,5,dropout_median,18,0.077
5,40,3,0,0,5,dropout_median,19,0.077
5,40,3,0,0,5,dropout_median,20,0.077
5,40,3,0,0,5,dropout_median,21,0.077
5,40,3,0,0,5,dropout_median,22,0.077
5,40,3,0,0,5,dropout_median,23,0.1295
5,40,3,0,0,5,dropout_median,24,0.0775
5,40,3,0,0,5,dropout_median,25,0.0775
5,40,3,0,0,5,dropout_median,26,0.129
5,40,3,0,0,5,dropout_median,27,0.0805
5,40,3,0,0,5,dropout_median,28,0.0805
5,40,3,0,0,5,dropout_median,29,0.1015
5,40,3,0,0,5,dropout_median,30,0.1015
5,40,3,0,0,5,dropout_median,31,0.1015
5,40,3,0,0,5,dropout_median,32,0.1015
5,40,3,0,0,5,dropout_median,33,0.1015
5,40,3,0,0,5,dropout_median,34,0.1015
5,40,3,0,0,5,dropout_median,35,0.1015
5,40,3,0,0,5,dropout_median,36,0.1015
5,40,3,0,0,5,dropout_median,37,0.1015
5,40,3,0,0,5,dropout_median,38,0.1015
5,40,3,0,0,5,dropout_median,39,0.1015
5,40,3,0,0,5,dropout_median,40,0.1015
