Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_mean,1,0.078
10,50,3,0,0,5,dropout_mean,2,0.078
10,50,3,0,0,5,dropout_mean,3,0.103
10,50,3,0,0,5,dropout_mean,4,0.109
10,50,3,0,0,5,dropout_mean,5,0.116
10,50,3,0,0,5,dropout_mean,6,0.231
10,50,3,0,0,5,dropout_mean,7,0.212
10,50,3,0,0,5,dropout_mean,8,0.112
10,50,3,0,0,5,dropout_mean,9,0.131
10,50,3,0,0,5,dropout_mean,10,0.103
10,50,3,0,0,5,dropout_mean,11,0.108
10,50,3,0,0,5,dropout_mean,12,0.103
10,50,3,0,0,5,dropout_mean,13,0.166
10,50,3,0,0,5,dropout_mean,14,0.118
10,50,3,0,0,5,dropout_mean,15,0.124
10,50,3,0,0,5,dropout_mean,16,0.277
10,50,3,0,0,5,dropout_mean,17,0.15
10,50,3,0,0,5,dropout_mean,18,0.189
10,50,3,0,0,5,dropout_mean,19,0.121
10,50,3,0,0,5,dropout_mean,20,0.101
10,50,3,0,0,5,dropout_mean,21,0.121
10,50,3,0,0,5,dropout_mean,22,0.087
10,50,3,0,0,5,dropout_mean,23,0.121
10,50,3,0,0,5,dropout_mean,24,0.087
10,50,3,0,0,5,dropout_mean,25,0.087
10,50,3,0,0,5,dropout_mean,26,0.093
10,50,3,0,0,5,dropout_mean,27,0.087
10,50,3,0,0,5,dropout_mean,28,0.103
10,50,3,0,0,5,dropout_mean,29,0.087
10,50,3,0,0,5,dropout_mean,30,0.078
10,50,3,0,0,5,dropout_mean,31,0.103
10,50,3,0,0,5,dropout_mean,32,0.103
10,50,3,0,0,5,dropout_mean,33,0.093
10,50,3,0,0,5,dropout_mean,34,0.109
10,50,3,0,0,5,dropout_mean,35,0.1
10,50,3,0,0,5,dropout_mean,36,0.078
10,50,3,0,0,5,dropout_mean,37,0.121
10,50,3,0,0,5,dropout_mean,38,0.093
10,50,3,0,0,5,dropout_mean,39,0.108
10,50,3,0,0,5,dropout_mean,40,0.093
10,50,3,0,0,5,dropout_mean,41,0.108
10,50,3,0,0,5,dropout_mean,42,0.109
10,50,3,0,0,5,dropout_mean,43,0.109
10,50,3,0,0,5,dropout_mean,44,0.087
10,50,3,0,0,5,dropout_mean,45,0.114
10,50,3,0,0,5,dropout_mean,46,0.121
10,50,3,0,0,5,dropout_mean,47,0.121
10,50,3,0,0,5,dropout_mean,48,0.121
10,50,3,0,0,5,dropout_mean,49,0.087
10,50,3,0,0,5,dropout_mean,50,0.087
