Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,softmax_mean,1,0.078
10,40,3,0,0,5,softmax_mean,2,0.093
10,40,3,0,0,5,softmax_mean,3,0.114
10,40,3,0,0,5,softmax_mean,4,0.147
10,40,3,0,0,5,softmax_mean,5,0.208
10,40,3,0,0,5,softmax_mean,6,0.156
10,40,3,0,0,5,softmax_mean,7,0.096
10,40,3,0,0,5,softmax_mean,8,0.153
10,40,3,0,0,5,softmax_mean,9,0.199
10,40,3,0,0,5,softmax_mean,10,0.195
10,40,3,0,0,5,softmax_mean,11,0.152
10,40,3,0,0,5,softmax_mean,12,0.133
10,40,3,0,0,5,softmax_mean,13,0.12
10,40,3,0,0,5,softmax_mean,14,0.165
10,40,3,0,0,5,softmax_mean,15,0.16
10,40,3,0,0,5,softmax_mean,16,0.254
10,40,3,0,0,5,softmax_mean,17,0.237
10,40,3,0,0,5,softmax_mean,18,0.252
10,40,3,0,0,5,softmax_mean,19,0.175
10,40,3,0,0,5,softmax_mean,20,0.22
10,40,3,0,0,5,softmax_mean,21,0.208
10,40,3,0,0,5,softmax_mean,22,0.19
10,40,3,0,0,5,softmax_mean,23,0.184
10,40,3,0,0,5,softmax_mean,24,0.193
10,40,3,0,0,5,softmax_mean,25,0.161
10,40,3,0,0,5,softmax_mean,26,0.164
10,40,3,0,0,5,softmax_mean,27,0.189
10,40,3,0,0,5,softmax_mean,28,0.172
10,40,3,0,0,5,softmax_mean,29,0.214
10,40,3,0,0,5,softmax_mean,30,0.157
10,40,3,0,0,5,softmax_mean,31,0.168
10,40,3,0,0,5,softmax_mean,32,0.166
10,40,3,0,0,5,softmax_mean,33,0.207
10,40,3,0,0,5,softmax_mean,34,0.162
10,40,3,0,0,5,softmax_mean,35,0.148
10,40,3,0,0,5,softmax_mean,36,0.174
10,40,3,0,0,5,softmax_mean,37,0.17
10,40,3,0,0,5,softmax_mean,38,0.152
10,40,3,0,0,5,softmax_mean,39,0.138
10,40,3,0,0,5,softmax_mean,40,0.136
