Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.078
10,40,3,0,0,5,mean,2,0.114
10,40,3,0,0,5,mean,3,0.16
10,40,3,0,0,5,mean,4,0.262
10,40,3,0,0,5,mean,5,0.248
10,40,3,0,0,5,mean,6,0.216
10,40,3,0,0,5,mean,7,0.238
10,40,3,0,0,5,mean,8,0.224
10,40,3,0,0,5,mean,9,0.226
10,40,3,0,0,5,mean,10,0.213
10,40,3,0,0,5,mean,11,0.23
10,40,3,0,0,5,mean,12,0.24
10,40,3,0,0,5,mean,13,0.224
10,40,3,0,0,5,mean,14,0.229
10,40,3,0,0,5,mean,15,0.256
10,40,3,0,0,5,mean,16,0.257
10,40,3,0,0,5,mean,17,0.259
10,40,3,0,0,5,mean,18,0.27
10,40,3,0,0,5,mean,19,0.275
10,40,3,0,0,5,mean,20,0.262
10,40,3,0,0,5,mean,21,0.248
10,40,3,0,0,5,mean,22,0.267
10,40,3,0,0,5,mean,23,0.205
10,40,3,0,0,5,mean,24,0.252
10,40,3,0,0,5,mean,25,0.166
10,40,3,0,0,5,mean,26,0.217
10,40,3,0,0,5,mean,27,0.246
10,40,3,0,0,5,mean,28,0.229
10,40,3,0,0,5,mean,29,0.209
10,40,3,0,0,5,mean,30,0.221
10,40,3,0,0,5,mean,31,0.209
10,40,3,0,0,5,mean,32,0.216
10,40,3,0,0,5,mean,33,0.202
10,40,3,0,0,5,mean,34,0.239
10,40,3,0,0,5,mean,35,0.235
10,40,3,0,0,5,mean,36,0.195
10,40,3,0,0,5,mean,37,0.198
10,40,3,0,0,5,mean,38,0.24
10,40,3,0,0,5,mean,39,0.195
10,40,3,0,0,5,mean,40,0.215
