Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,1,1000,trimmed_mean,1,0.078
10,50,3,0,1,1000,trimmed_mean,2,0.165
10,50,3,0,1,1000,trimmed_mean,3,0.282
10,50,3,0,1,1000,trimmed_mean,4,0.329
10,50,3,0,1,1000,trimmed_mean,5,0.371
10,50,3,0,1,1000,trimmed_mean,6,0.369
10,50,3,0,1,1000,trimmed_mean,7,0.39
10,50,3,0,1,1000,trimmed_mean,8,0.408
10,50,3,0,1,1000,trimmed_mean,9,0.419
10,50,3,0,1,1000,trimmed_mean,10,0.419
10,50,3,0,1,1000,trimmed_mean,11,0.418
10,50,3,0,1,1000,trimmed_mean,12,0.419
10,50,3,0,1,1000,trimmed_mean,13,0.423
10,50,3,0,1,1000,trimmed_mean,14,0.427
10,50,3,0,1,1000,trimmed_mean,15,0.432
10,50,3,0,1,1000,trimmed_mean,16,0.437
10,50,3,0,1,1000,trimmed_mean,17,0.435
10,50,3,0,1,1000,trimmed_mean,18,0.433
10,50,3,0,1,1000,trimmed_mean,19,0.417
10,50,3,0,1,1000,trimmed_mean,20,0.419
10,50,3,0,1,1000,trimmed_mean,21,0.437
10,50,3,0,1,1000,trimmed_mean,22,0.44
10,50,3,0,1,1000,trimmed_mean,23,0.456
10,50,3,0,1,1000,trimmed_mean,24,0.433
10,50,3,0,1,1000,trimmed_mean,25,0.437
10,50,3,0,1,1000,trimmed_mean,26,0.434
10,50,3,0,1,1000,trimmed_mean,27,0.447
10,50,3,0,1,1000,trimmed_mean,28,0.433
10,50,3,0,1,1000,trimmed_mean,29,0.428
10,50,3,0,1,1000,trimmed_mean,30,0.417
10,50,3,0,1,1000,trimmed_mean,31,0.445
10,50,3,0,1,1000,trimmed_mean,32,0.434
10,50,3,0,1,1000,trimmed_mean,33,0.443
10,50,3,0,1,1000,trimmed_mean,34,0.448
10,50,3,0,1,1000,trimmed_mean,35,0.449
10,50,3,0,1,1000,trimmed_mean,36,0.447
10,50,3,0,1,1000,trimmed_mean,37,0.446
10,50,3,0,1,1000,trimmed_mean,38,0.401
10,50,3,0,1,1000,trimmed_mean,39,0.422
10,50,3,0,1,1000,trimmed_mean,40,0.409
10,50,3,0,1,1000,trimmed_mean,41,0.438
10,50,3,0,1,1000,trimmed_mean,42,0.433
10,50,3,0,1,1000,trimmed_mean,43,0.423
10,50,3,0,1,1000,trimmed_mean,44,0.421
10,50,3,0,1,1000,trimmed_mean,45,0.435
10,50,3,0,1,1000,trimmed_mean,46,0.424
10,50,3,0,1,1000,trimmed_mean,47,0.462
10,50,3,0,1,1000,trimmed_mean,48,0.444
10,50,3,0,1,1000,trimmed_mean,49,0.42
10,50,3,0,1,1000,trimmed_mean,50,0.402
