Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,weighted_krum,1,0.257
10,50,3,0,0,5,weighted_krum,2,0.279
10,50,3,0,0,5,weighted_krum,3,0.3
10,50,3,0,0,5,weighted_krum,4,0.314
10,50,3,0,0,5,weighted_krum,5,0.323
10,50,3,0,0,5,weighted_krum,6,0.288
10,50,3,0,0,5,weighted_krum,7,0.288
10,50,3,0,0,5,weighted_krum,8,0.308
10,50,3,0,0,5,weighted_krum,9,0.305
10,50,3,0,0,5,weighted_krum,10,0.297
10,50,3,0,0,5,weighted_krum,11,0.321
10,50,3,0,0,5,weighted_krum,12,0.328
10,50,3,0,0,5,weighted_krum,13,0.32
10,50,3,0,0,5,weighted_krum,14,0.305
10,50,3,0,0,5,weighted_krum,15,0.32
10,50,3,0,0,5,weighted_krum,16,0.349
10,50,3,0,0,5,weighted_krum,17,0.341
10,50,3,0,0,5,weighted_krum,18,0.325
10,50,3,0,0,5,weighted_krum,19,0.328
10,50,3,0,0,5,weighted_krum,20,0.33
10,50,3,0,0,5,weighted_krum,21,0.33
10,50,3,0,0,5,weighted_krum,22,0.319
10,50,3,0,0,5,weighted_krum,23,0.289
10,50,3,0,0,5,weighted_krum,24,0.328
10,50,3,0,0,5,weighted_krum,25,0.343
10,50,3,0,0,5,weighted_krum,26,0.324
10,50,3,0,0,5,weighted_krum,27,0.302
10,50,3,0,0,5,weighted_krum,28,0.343
10,50,3,0,0,5,weighted_krum,29,0.313
10,50,3,0,0,5,weighted_krum,30,0.328
10,50,3,0,0,5,weighted_krum,31,0.233
10,50,3,0,0,5,weighted_krum,32,0.319
10,50,3,0,0,5,weighted_krum,33,0.276
10,50,3,0,0,5,weighted_krum,34,0.319
10,50,3,0,0,5,weighted_krum,35,0.327
10,50,3,0,0,5,weighted_krum,36,0.323
10,50,3,0,0,5,weighted_krum,37,0.304
10,50,3,0,0,5,weighted_krum,38,0.293
10,50,3,0,0,5,weighted_krum,39,0.315
10,50,3,0,0,5,weighted_krum,40,0.301
10,50,3,0,0,5,weighted_krum,41,0.19
10,50,3,0,0,5,weighted_krum,42,0.302
10,50,3,0,0,5,weighted_krum,43,0.303
10,50,3,0,0,5,weighted_krum,44,0.312
10,50,3,0,0,5,weighted_krum,45,0.205
10,50,3,0,0,5,weighted_krum,46,0.306
10,50,3,0,0,5,weighted_krum,47,0.296
10,50,3,0,0,5,weighted_krum,48,0.317
10,50,3,0,0,5,weighted_krum,49,0.333
10,50,3,0,0,5,weighted_krum,50,0.304
