Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.108
10,40,3,0,0,5,mean,2,0.114
10,40,3,0,0,5,mean,3,0.114
10,40,3,0,0,5,mean,4,0.123
10,40,3,0,0,5,mean,5,0.267
10,40,3,0,0,5,mean,6,0.303
10,40,3,0,0,5,mean,7,0.312
10,40,3,0,0,5,mean,8,0.293
10,40,3,0,0,5,mean,9,0.313
10,40,3,0,0,5,mean,10,0.324
10,40,3,0,0,5,mean,11,0.336
10,40,3,0,0,5,mean,12,0.334
10,40,3,0,0,5,mean,13,0.293
10,40,3,0,0,5,mean,14,0.327
10,40,3,0,0,5,mean,15,0.34
10,40,3,0,0,5,mean,16,0.275
10,40,3,0,0,5,mean,17,0.352
10,40,3,0,0,5,mean,18,0.318
10,40,3,0,0,5,mean,19,0.347
10,40,3,0,0,5,mean,20,0.354
10,40,3,0,0,5,mean,21,0.352
10,40,3,0,0,5,mean,22,0.348
10,40,3,0,0,5,mean,23,0.333
10,40,3,0,0,5,mean,24,0.347
10,40,3,0,0,5,mean,25,0.344
10,40,3,0,0,5,mean,26,0.321
10,40,3,0,0,5,mean,27,0.329
10,40,3,0,0,5,mean,28,0.326
10,40,3,0,0,5,mean,29,0.303
10,40,3,0,0,5,mean,30,0.34
10,40,3,0,0,5,mean,31,0.36
10,40,3,0,0,5,mean,32,0.352
10,40,3,0,0,5,mean,33,0.326
10,40,3,0,0,5,mean,34,0.314
10,40,3,0,0,5,mean,35,0.322
10,40,3,0,0,5,mean,36,0.343
10,40,3,0,0,5,mean,37,0.341
10,40,3,0,0,5,mean,38,0.361
10,40,3,0,0,5,mean,39,0.349
10,40,3,0,0,5,mean,40,0.342
