Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.078
10,40,3,0,0,5,mean,2,0.13
10,40,3,0,0,5,mean,3,0.19
10,40,3,0,0,5,mean,4,0.176
10,40,3,0,0,5,mean,5,0.177
10,40,3,0,0,5,mean,6,0.205
10,40,3,0,0,5,mean,7,0.225
10,40,3,0,0,5,mean,8,0.205
10,40,3,0,0,5,mean,9,0.226
10,40,3,0,0,5,mean,10,0.194
10,40,3,0,0,5,mean,11,0.213
10,40,3,0,0,5,mean,12,0.195
10,40,3,0,0,5,mean,13,0.237
10,40,3,0,0,5,mean,14,0.2
10,40,3,0,0,5,mean,15,0.219
10,40,3,0,0,5,mean,16,0.213
10,40,3,0,0,5,mean,17,0.205
10,40,3,0,0,5,mean,18,0.185
10,40,3,0,0,5,mean,19,0.183
10,40,3,0,0,5,mean,20,0.232
10,40,3,0,0,5,mean,21,0.219
10,40,3,0,0,5,mean,22,0.248
10,40,3,0,0,5,mean,23,0.246
10,40,3,0,0,5,mean,24,0.219
10,40,3,0,0,5,mean,25,0.228
10,40,3,0,0,5,mean,26,0.217
10,40,3,0,0,5,mean,27,0.218
10,40,3,0,0,5,mean,28,0.189
10,40,3,0,0,5,mean,29,0.212
10,40,3,0,0,5,mean,30,0.194
10,40,3,0,0,5,mean,31,0.239
10,40,3,0,0,5,mean,32,0.225
10,40,3,0,0,5,mean,33,0.219
10,40,3,0,0,5,mean,34,0.181
10,40,3,0,0,5,mean,35,0.209
10,40,3,0,0,5,mean,36,0.217
10,40,3,0,0,5,mean,37,0.208
10,40,3,0,0,5,mean,38,0.188
10,40,3,0,0,5,mean,39,0.237
10,40,3,0,0,5,mean,40,0.219
