Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.103
10,40,3,0,0,5,dropout_mean,2,0.114
10,40,3,0,0,5,dropout_mean,3,0.096
10,40,3,0,0,5,dropout_mean,4,0.114
10,40,3,0,0,5,dropout_mean,5,0.112
10,40,3,0,0,5,dropout_mean,6,0.1
10,40,3,0,0,5,dropout_mean,7,0.098
10,40,3,0,0,5,dropout_mean,8,0.102
10,40,3,0,0,5,dropout_mean,9,0.087
10,40,3,0,0,5,dropout_mean,10,0.087
10,40,3,0,0,5,dropout_mean,11,0.123
10,40,3,0,0,5,dropout_mean,12,0.122
10,40,3,0,0,5,dropout_mean,13,0.112
10,40,3,0,0,5,dropout_mean,14,0.123
10,40,3,0,0,5,dropout_mean,15,0.103
10,40,3,0,0,5,dropout_mean,16,0.093
10,40,3,0,0,5,dropout_mean,17,0.093
10,40,3,0,0,5,dropout_mean,18,0.094
10,40,3,0,0,5,dropout_mean,19,0.093
10,40,3,0,0,5,dropout_mean,20,0.093
10,40,3,0,0,5,dropout_mean,21,0.097
10,40,3,0,0,5,dropout_mean,22,0.095
10,40,3,0,0,5,dropout_mean,23,0.101
10,40,3,0,0,5,dropout_mean,24,0.117
10,40,3,0,0,5,dropout_mean,25,0.093
10,40,3,0,0,5,dropout_mean,26,0.087
10,40,3,0,0,5,dropout_mean,27,0.196
10,40,3,0,0,5,dropout_mean,28,0.212
10,40,3,0,0,5,dropout_mean,29,0.088
10,40,3,0,0,5,dropout_mean,30,0.103
10,40,3,0,0,5,dropout_mean,31,0.087
10,40,3,0,0,5,dropout_mean,32,0.087
10,40,3,0,0,5,dropout_mean,33,0.091
10,40,3,0,0,5,dropout_mean,34,0.095
10,40,3,0,0,5,dropout_mean,35,0.105
10,40,3,0,0,5,dropout_mean,36,0.18
10,40,3,0,0,5,dropout_mean,37,0.252
10,40,3,0,0,5,dropout_mean,38,0.146
10,40,3,0,0,5,dropout_mean,39,0.126
10,40,3,0,0,5,dropout_mean,40,0.139
