Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.103
10,40,3,0,0,5,weighted_mean,2,0.114
10,40,3,0,0,5,weighted_mean,3,0.157
10,40,3,0,0,5,weighted_mean,4,0.137
10,40,3,0,0,5,weighted_mean,5,0.217
10,40,3,0,0,5,weighted_mean,6,0.207
10,40,3,0,0,5,weighted_mean,7,0.185
10,40,3,0,0,5,weighted_mean,8,0.246
10,40,3,0,0,5,weighted_mean,9,0.266
10,40,3,0,0,5,weighted_mean,10,0.217
10,40,3,0,0,5,weighted_mean,11,0.244
10,40,3,0,0,5,weighted_mean,12,0.108
10,40,3,0,0,5,weighted_mean,13,0.153
10,40,3,0,0,5,weighted_mean,14,0.131
10,40,3,0,0,5,weighted_mean,15,0.103
10,40,3,0,0,5,weighted_mean,16,0.099
10,40,3,0,0,5,weighted_mean,17,0.078
10,40,3,0,0,5,weighted_mean,18,0.114
10,40,3,0,0,5,weighted_mean,19,0.106
10,40,3,0,0,5,weighted_mean,20,0.141
10,40,3,0,0,5,weighted_mean,21,0.11
10,40,3,0,0,5,weighted_mean,22,0.149
10,40,3,0,0,5,weighted_mean,23,0.129
10,40,3,0,0,5,weighted_mean,24,0.12
10,40,3,0,0,5,weighted_mean,25,0.098
10,40,3,0,0,5,weighted_mean,26,0.2
10,40,3,0,0,5,weighted_mean,27,0.145
10,40,3,0,0,5,weighted_mean,28,0.099
10,40,3,0,0,5,weighted_mean,29,0.1
10,40,3,0,0,5,weighted_mean,30,0.106
10,40,3,0,0,5,weighted_mean,31,0.091
10,40,3,0,0,5,weighted_mean,32,0.134
10,40,3,0,0,5,weighted_mean,33,0.126
10,40,3,0,0,5,weighted_mean,34,0.133
10,40,3,0,0,5,weighted_mean,35,0.133
10,40,3,0,0,5,weighted_mean,36,0.117
10,40,3,0,0,5,weighted_mean,37,0.185
10,40,3,0,0,5,weighted_mean,38,0.184
10,40,3,0,0,5,weighted_mean,39,0.117
10,40,3,0,0,5,weighted_mean,40,0.121
